sample-id	Assay Type	Bases	BioProject	BioSample	Bytes	Center Name	Experiment	geo_loc_name_country	geo_loc_name_country_continent	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	Sample Name	SRA Study	history_of_host_infection	disease_stage	PH
SRR14161096	AMPLICON	71746500	PRJNA719953	SAMN18629589	41285648	University of Glasglow	SRX10529614	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS018B	SRP313751	RVVC	Disease	N/A
SRR14161097	AMPLICON	92749000	PRJNA719953	SAMN18629588	57645704	University of Glasglow	SRX10529613	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS017B	SRP313751	RVVC	Disease	N/A
SRR14161098	AMPLICON	54107500	PRJNA719953	SAMN18629586	36953176	University of Glasglow	SRX10529612	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS015B	SRP313751	RVVC	Disease	N/A
SRR14161099	AMPLICON	68391500	PRJNA719953	SAMN18629585	38187294	University of Glasglow	SRX10529611	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS014B	SRP313751	RVVC	Disease	N/A
SRR14161100	AMPLICON	35092500	PRJNA719953	SAMN18629584	21288802	University of Glasglow	SRX10529610	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS013B	SRP313751	RVVC	Disease	N/A
SRR14161102	AMPLICON	19587500	PRJNA719953	SAMN18629583	11004436	University of Glasglow	SRX10529608	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS012B	SRP313751	RVVC	Disease	N/A
SRR14161103	AMPLICON	54183500	PRJNA719953	SAMN18629582	30354324	University of Glasglow	SRX10529607	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS011B	SRP313751	RVVC	Disease	N/A
SRR14161104	AMPLICON	25962000	PRJNA719953	SAMN18629581	16148164	University of Glasglow	SRX10529606	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS010B	SRP313751	RVVC	Disease	N/A
SRR14161105	AMPLICON	25298000	PRJNA719953	SAMN18629580	14853514	University of Glasglow	SRX10529605	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS009B	SRP313751	RVVC	Disease	N/A
SRR14161106	AMPLICON	26757000	PRJNA719953	SAMN18629579	16000411	University of Glasglow	SRX10529604	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS008B	SRP313751	RVVC	Disease	N/A
SRR14161107	AMPLICON	38385500	PRJNA719953	SAMN18629578	23412905	University of Glasglow	SRX10529603	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS007B	SRP313751	RVVC	Disease	N/A
SRR14161108	AMPLICON	33575000	PRJNA719953	SAMN18629577	19715419	University of Glasglow	SRX10529602	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS006B	SRP313751	RVVC	Disease	N/A
SRR14161109	AMPLICON	32988500	PRJNA719953	SAMN18629576	19024033	University of Glasglow	SRX10529601	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS005B	SRP313751	RVVC	Disease	N/A
SRR14161110	AMPLICON	78262500	PRJNA719953	SAMN18629575	42245608	University of Glasglow	SRX10529600	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS004B	SRP313751	RVVC	Disease	N/A
SRR14161111	AMPLICON	45882500	PRJNA719953	SAMN18629573	27697883	University of Glasglow	SRX10529599	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS002B	SRP313751	RVVC	Disease	N/A
SRR14161113	AMPLICON	41465000	PRJNA719953	SAMN18629572	23577495	University of Glasglow	SRX10529597	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS001B	SRP313751	RVVC	Disease	N/A
ERR5711040	AMPLICON	103914	PRJEB33108	SAMEA8562256	157071	UA	ERX5426418	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:40	SAMEA8562256	ERP115874	VVC	N/A	N/A
ERR5711045	AMPLICON	76304	PRJEB33108	SAMEA8562261	136410	UA	ERX5426423	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:40	SAMEA8562261	ERP115874	VVC	N/A	N/A
ERR5711065	AMPLICON	43200614	PRJEB33108	SAMEA8562150	30967237	UA	ERX5426443	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:42	SAMEA8562150	ERP115874	VVC	N/A	N/A
ERR5711077	AMPLICON	19578	PRJEB33108	SAMEA8562156	93886	UA	ERX5426455	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:40	SAMEA8562156	ERP115874	VVC	N/A	N/A
ERR5711083	AMPLICON	39599266	PRJEB33108	SAMEA8562167	29123424	UA	ERX5426461	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:42	SAMEA8562167	ERP115874	VVC	N/A	N/A
ERR5711100	AMPLICON	12552510	PRJEB33108	SAMEA8562183	9137100	UA	ERX5426478	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:42	SAMEA8562183	ERP115874	VVC	N/A	N/A
ERR5711129	AMPLICON	36701722	PRJEB33108	SAMEA8562127	26436293	UA	ERX5426507	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:42	SAMEA8562127	ERP115874	VVC	N/A	N/A
ERR5711134	AMPLICON	38316154	PRJEB33108	SAMEA8562209	27597769	UA	ERX5426512	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:41	SAMEA8562209	ERP115874	VVC	N/A	N/A
ERR5711149	AMPLICON	49814966	PRJEB33108	SAMEA8562137	35971015	UA	ERX5426527	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:41	SAMEA8562137	ERP115874	VVC	N/A	N/A
ERR5711156	AMPLICON	45009822	PRJEB33108	SAMEA8562220	32769941	UA	ERX5426534	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:42	SAMEA8562220	ERP115874	VVC	N/A	N/A
ERR5711185	AMPLICON	24561354	PRJEB33108	SAMEA8562099	18168322	UA	ERX5426563	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 2:42	SAMEA8562099	ERP115874	VVC	N/A	N/A
ERR5711404	AMPLICON	10744808	PRJEB33108	SAMEA8562433	7545588	UA	ERX5426782	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:40	SAMEA8562433	ERP115874	VVC	N/A	N/A
ERR5711433	AMPLICON	43539464	PRJEB33108	SAMEA8562460	30150666	UA	ERX5426811	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:41	SAMEA8562460	ERP115874	VVC	N/A	N/A
ERR5711470	AMPLICON	38085234	PRJEB33108	SAMEA8562427	25054497	UA	ERX5426848	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:41	SAMEA8562427	ERP115874	VVC	N/A	N/A
ERR5711503	AMPLICON	502502	PRJEB33108	SAMEA8562303	417330	UA	ERX5426881	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:40	SAMEA8562303	ERP115874	VVC	N/A	N/A
ERR5711525	AMPLICON	206322	PRJEB33108	SAMEA8562314	213583	UA	ERX5426903	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:40	SAMEA8562314	ERP115874	VVC	N/A	N/A
ERR5711540	AMPLICON	48054954	PRJEB33108	SAMEA8562417	32312120	UA	ERX5426918	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 14:48	SAMEA8562417	ERP115874	VVC	N/A	N/A
ERR5711541	AMPLICON	42348218	PRJEB33108	SAMEA8562338	28491278	UA	ERX5426919	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:41	SAMEA8562338	ERP115874	VVC	N/A	N/A
ERR5711555	AMPLICON	24411758	PRJEB33108	SAMEA8562269	16082783	UA	ERX5426933	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:41	SAMEA8562269	ERP115874	VVC	N/A	N/A
ERR5711565	AMPLICON	43555026	PRJEB33108	SAMEA8562278	27471937	UA	ERX5426943	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/21/21 0:41	SAMEA8562278	ERP115874	VVC	N/A	N/A
ERR5711120	AMPLICON	61244	PRJEB33108	SAMEA8562264	124658	UA	ERX5426498	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562264	ERP115874	VVC	N/A	N/A
ERR5711136	AMPLICON	41132374	PRJEB33108	SAMEA8562210	30023921	UA	ERX5426514	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562210	ERP115874	VVC	N/A	N/A
ERR5711158	AMPLICON	47167920	PRJEB33108	SAMEA8562237	34868687	UA	ERX5426536	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562237	ERP115874	VVC	N/A	N/A
ERR5711159	AMPLICON	34346840	PRJEB33108	SAMEA8562158	25481681	UA	ERX5426537	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:37	SAMEA8562158	ERP115874	VVC	N/A	N/A
ERR5711160	AMPLICON	30362968	PRJEB33108	SAMEA8562238	22418183	UA	ERX5426538	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562238	ERP115874	VVC	N/A	N/A
ERR5711161	AMPLICON	48726128	PRJEB33108	SAMEA8562159	35915155	UA	ERX5426539	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562159	ERP115874	VVC	N/A	N/A
ERR5711162	AMPLICON	46623250	PRJEB33108	SAMEA8562239	34291953	UA	ERX5426540	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:37	SAMEA8562239	ERP115874	VVC	N/A	N/A
ERR5711163	AMPLICON	520574	PRJEB33108	SAMEA8562160	471817	UA	ERX5426541	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562160	ERP115874	VVC	N/A	N/A
ERR5711164	AMPLICON	694768	PRJEB33108	SAMEA8562240	600268	UA	ERX5426542	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562240	ERP115874	VVC	N/A	N/A
ERR5711165	AMPLICON	39650972	PRJEB33108	SAMEA8562161	28800076	UA	ERX5426543	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:37	SAMEA8562161	ERP115874	VVC	N/A	N/A
ERR5711167	AMPLICON	47608676	PRJEB33108	SAMEA8562162	34967161	UA	ERX5426545	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:37	SAMEA8562162	ERP115874	VVC	N/A	N/A
ERR5711191	AMPLICON	26521162	PRJEB33108	SAMEA8562110	19454782	UA	ERX5426569	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562110	ERP115874	VVC	N/A	N/A
ERR5711409	AMPLICON	148592	PRJEB33108	SAMEA8562436	191025	UA	ERX5426787	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562436	ERP115874	VVC	N/A	N/A
ERR5711415	AMPLICON	9966206	PRJEB33108	SAMEA8562442	6614986	UA	ERX5426793	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562442	ERP115874	VVC	N/A	N/A
ERR5711425	AMPLICON	177206	PRJEB33108	SAMEA8562452	212363	UA	ERX5426803	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562452	ERP115874	VVC	N/A	N/A
ERR5711481	AMPLICON	530614	PRJEB33108	SAMEA8562276	463768	UA	ERX5426859	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562276	ERP115874	VVC	N/A	N/A
ERR5711492	AMPLICON	8746346	PRJEB33108	SAMEA8562365	5524040	UA	ERX5426870	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:37	SAMEA8562365	ERP115874	VVC	N/A	N/A
ERR5711526	AMPLICON	321280	PRJEB33108	SAMEA8562394	303581	UA	ERX5426904	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562394	ERP115874	VVC	N/A	N/A
ERR5711544	AMPLICON	31275102	PRJEB33108	SAMEA8562420	19778241	UA	ERX5426922	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562420	ERP115874	VVC	N/A	N/A
ERR5711564	AMPLICON	30384052	PRJEB33108	SAMEA8562357	19682427	UA	ERX5426942	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:36	SAMEA8562357	ERP115874	VVC	N/A	N/A
ERR5711588	AMPLICON	18829518	PRJEB33108	SAMEA8562377	12271596	UA	ERX5426966	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/20/21 19:37	SAMEA8562377	ERP115874	VVC	N/A	N/A
ERR5711033	AMPLICON	66264	PRJEB33108	SAMEA8562249	128730	UA	ERX5426411	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:42	SAMEA8562249	ERP115874	VVC	N/A	N/A
ERR5711034	AMPLICON	67770	PRJEB33108	SAMEA8562250	129816	UA	ERX5426412	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:42	SAMEA8562250	ERP115874	VVC	N/A	N/A
ERR5711035	AMPLICON	69778	PRJEB33108	SAMEA8562251	131900	UA	ERX5426413	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:42	SAMEA8562251	ERP115874	VVC	N/A	N/A
ERR5711037	AMPLICON	52710	PRJEB33108	SAMEA8562253	118803	UA	ERX5426415	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562253	ERP115874	VVC	N/A	N/A
ERR5711038	AMPLICON	81826	PRJEB33108	SAMEA8562254	140256	UA	ERX5426416	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:42	SAMEA8562254	ERP115874	VVC	N/A	N/A
ERR5711039	AMPLICON	58232	PRJEB33108	SAMEA8562255	123120	UA	ERX5426417	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562255	ERP115874	VVC	N/A	N/A
ERR5711041	AMPLICON	81826	PRJEB33108	SAMEA8562257	140022	UA	ERX5426419	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562257	ERP115874	VVC	N/A	N/A
ERR5711042	AMPLICON	41666	PRJEB33108	SAMEA8562258	110263	UA	ERX5426420	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562258	ERP115874	VVC	N/A	N/A
ERR5711043	AMPLICON	388548	PRJEB33108	SAMEA8562259	366424	UA	ERX5426421	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562259	ERP115874	VVC	N/A	N/A
ERR5711044	AMPLICON	482422	PRJEB33108	SAMEA8562260	436282	UA	ERX5426422	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562260	ERP115874	VVC	N/A	N/A
ERR5711047	AMPLICON	29053250	PRJEB33108	SAMEA8562141	21909633	UA	ERX5426425	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562141	ERP115874	VVC	N/A	N/A
ERR5711048	AMPLICON	23540286	PRJEB33108	SAMEA8562221	17802427	UA	ERX5426426	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562221	ERP115874	VVC	N/A	N/A
ERR5711049	AMPLICON	34907574	PRJEB33108	SAMEA8562142	25678906	UA	ERX5426427	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562142	ERP115874	VVC	N/A	N/A
ERR5711050	AMPLICON	29181260	PRJEB33108	SAMEA8562222	21594256	UA	ERX5426428	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562222	ERP115874	VVC	N/A	N/A
ERR5711051	AMPLICON	27969432	PRJEB33108	SAMEA8562143	21205386	UA	ERX5426429	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:44	SAMEA8562143	ERP115874	VVC	N/A	N/A
ERR5711052	AMPLICON	32084326	PRJEB33108	SAMEA8562223	24301801	UA	ERX5426430	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562223	ERP115874	VVC	N/A	N/A
ERR5711053	AMPLICON	12038462	PRJEB33108	SAMEA8562144	9117142	UA	ERX5426431	Belgium	Europe	PAIRED	PCR	METAGENOMIC	vaginal metagenome	ILLUMINA	4/18/21 20:00	4/19/21 19:43	SAMEA8562144	ERP115874	VVC	N/A	N/A
